label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,127,N/A,N/A,7696279,7725141
aricode,add_aricode,232,112,37,283081,287314
NASM asm,add_asm,352,15,4,280804,288319
C (clang -O2),add_clang_O2,762584,648987,120040,396360,402150
C (clang -O2 dyn),add_clang_O2_dyn,15864,1206,79,540570,552734
C (gcc -O0),add_gcc_O0,754232,640311,120042,399675,408653
C (gcc -O2),add_gcc_O2,754232,640303,120041,395841,399263
C (gcc -O2 dyn),add_gcc_O2_dyn,15824,1209,80,523879,530618
C (gcc -O3),add_gcc_O3,754232,640303,120041,391876,391328
C (gcc -Os),add_gcc_Os,754232,640303,120041,390864,398333
Go,add_go,1873491,1171250,142384,952879,966688
Rust,add_rust,11382360,361527,71703,711226,711062
