label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,212,N/A,N/A,7636461,7638825
aricode,fib_aricode,319,199,66,278753,294426
NASM asm,fib_asm,408,69,24,276527,281926
C (clang -O2),fib_clang_O2,762608,649099,120063,388665,398031
C (clang -O2 dyn),fib_clang_O2_dyn,15896,1338,106,522927,531637
C (gcc -O0),fib_gcc_O0,754256,640407,120065,391796,403288
C (gcc -O2),fib_gcc_O2,758352,641343,120332,387193,396003
C (gcc -O2 dyn),fib_gcc_O2_dyn,15856,2244,368,523830,527639
C (gcc -O3),fib_gcc_O3,758352,641375,120344,385642,392240
C (gcc -Os),fib_gcc_Os,754256,640343,120049,385492,392064
Go,fib_go,1873836,1171506,142414,950015,953167
Rust,fib_rust,11382416,361655,71729,708321,711979
