label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,216,N/A,N/A,7750899,7698001
aricode,fact_aricode,256,136,45,285460,299433
NASM asm,fact_asm,392,53,19,279577,291232
C (gcc -O0),fact_gcc_O0,754264,640407,120061,399415,412853
C (gcc -O2),fact_gcc_O2,754264,640319,120045,395772,409879
C (gcc -O2 dyn),fact_gcc_O2_dyn,15864,1274,91,537861,546126
C (gcc -O3),fact_gcc_O3,754264,640319,120045,403493,405653
C (gcc -Os),fact_gcc_Os,754264,640319,120042,398629,407072
Go,fact_go,1873754,1171642,142424,956599,971493
Rust,fact_rust,11382360,361527,71703,723222,727216
