label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,363,N/A,N/A,8455098,7739332
aricode,ack_aricode,385,265,88,301377,312212
NASM asm,ack_asm,416,75,27,282985,294901
C (clang -O2),ack_clang_O2,762608,649083,120065,389305,399762
C (clang -O2 dyn),ack_clang_O2_dyn,15896,1299,101,522329,533493
C (gcc -O0),ack_gcc_O0,754256,640471,120082,406206,420532
C (gcc -O2),ack_gcc_O2,754256,640775,120173,396873,406380
C (gcc -O2 dyn),ack_gcc_O2_dyn,15856,1676,209,523781,543396
C (gcc -O3),ack_gcc_O3,758352,640847,120191,395949,411344
C (gcc -Os),ack_gcc_Os,754256,640327,120050,405223,409801
Go,ack_go,1873260,1171538,142422,971018,990738
Rust,ack_rust,11382416,361607,71722,714718,736168
