label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,199,N/A,N/A,7721428,7710364
aricode,gcd_aricode,300,180,60,283485,286277
NASM asm,gcd_asm,392,50,16,280283,277765
C (gcc -O0),gcd_gcc_O0,754256,640407,120064,399037,404572
C (gcc -O2),gcd_gcc_O2,754256,640383,120068,388803,395638
C (gcc -O2 dyn),gcd_gcc_O2_dyn,15856,1297,106,519673,531871
C (gcc -O3),gcd_gcc_O3,754256,640383,120068,386367,404942
C (gcc -Os),gcd_gcc_Os,754256,640383,120063,396101,389164
Go,gcd_go,1873419,1171322,142394,963889,970391
Rust,gcd_rust,11382360,361543,71710,705934,711264
