label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,136,N/A,N/A,7676852,7663768
aricode,powmod_aricode,461,341,113,285132,285547
NASM asm,powmod_asm,448,105,32,282536,289438
C (gcc -O0),powmod_gcc_O0,754264,640471,120082,400329,396539
C (gcc -O2),powmod_gcc_O2,754264,640511,120103,394336,406614
C (gcc -O2 dyn),powmod_gcc_O2_dyn,15864,1427,143,527134,540825
C (gcc -O3),powmod_gcc_O3,754264,640447,120083,395619,396766
C (gcc -Os),powmod_gcc_Os,754264,640383,120065,393028,406810
Go,powmod_go,1874435,1171482,142408,951814,966903
Rust,powmod_rust,11382368,361527,71703,712766,720476
