label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,293,N/A,N/A,11719807,11303431
aricode,isqrt_aricode,512,392,130,422927,437930
NASM asm,isqrt_asm,416,73,27,420498,383259
C (clang -O2),isqrt_clang_O2,762616,649075,120065,543977,582891
C (clang -O2 dyn),isqrt_clang_O2_dyn,15896,1282,100,769360,771262
C (gcc -O0),isqrt_gcc_O0,754264,640407,120073,540820,588599
C (gcc -O2),isqrt_gcc_O2,754264,640447,120082,576820,587744
C (gcc -O2 dyn),isqrt_gcc_O2_dyn,15856,1365,124,751140,778515
C (gcc -O3),isqrt_gcc_O3,754264,640447,120082,577443,593483
C (gcc -Os),isqrt_gcc_Os,754264,640319,120050,579455,579362
Go,isqrt_go,1873339,1171418,142404,1105681,1329439
Rust,isqrt_rust,11382360,361527,71703,905306,720286
