label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,799,N/A,N/A,8507544,7763396
aricode,perceptron_aricode,1576,0,0,305896,320393
NASM asm,perceptron_asm,4808,289,92,287454,296689
C (clang -O2),perceptron_clang_O2,762632,649395,120155,400518,406611
C (clang -O2 dyn),perceptron_clang_O2_dyn,15920,1600,189,531676,540127
C (gcc -O0),perceptron_gcc_O0,758376,640919,120216,410427,422914
C (gcc -O2),perceptron_gcc_O2,754280,640447,120084,392828,404943
C (gcc -O2 dyn),perceptron_gcc_O2_dyn,15880,1401,130,533202,536736
C (gcc -O3),perceptron_gcc_O3,754280,640447,120084,398767,406957
C (gcc -Os),perceptron_gcc_Os,754280,640511,120104,398469,406191
Go,perceptron_go,1877814,1172024,142549,992725,1005960
Rust,perceptron_rust,11382376,361831,71783,717777,730380
