label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,767,N/A,N/A,8862464,7731545
aricode,minimax_aricode,1006,0,0,355895,358593
NASM asm,minimax_asm,552,214,79,317916,318224
C (clang -O2),minimax_clang_O2,762616,649315,120128,425030,432332
C (clang -O2 dyn),minimax_clang_O2_dyn,15904,1503,160,560099,557812
C (gcc -O0),minimax_gcc_O0,754264,640599,120118,448789,459347
C (gcc -O2),minimax_gcc_O2,758360,642071,120482,416529,417825
C (gcc -O2 dyn),minimax_gcc_O2_dyn,15864,2968,517,548320,543337
C (gcc -O3),minimax_gcc_O3,758400,641935,120448,402919,404769
C (gcc -Os),minimax_gcc_Os,754264,640551,120110,424809,437616
Go,minimax_go,1873944,1171923,142501,989783,996804
Rust,minimax_rust,11382432,361943,71799,735476,722328
