label,binary_name,binary_size,text_size,instructions,exec_time_ns,startup_time_ns
Python3,python3,223,N/A,N/A,8572384,7720366
aricode,leibniz_aricode,671,551,183,353411,349712
NASM asm,leibniz_asm,4632,93,24,292966,302276
C (clang -O2),leibniz_clang_O2,762584,649147,120074,407784,401220
C (clang -O2 dyn),leibniz_clang_O2_dyn,15872,1418,117,541898,550195
C (gcc -O0),leibniz_gcc_O0,754232,640503,120071,426586,434458
C (gcc -O2),leibniz_gcc_O2,754232,640463,120071,414711,412651
C (gcc -O2 dyn),leibniz_gcc_O2_dyn,15832,1365,104,537393,551826
C (gcc -O3),leibniz_gcc_O3,754232,640463,120071,402607,408826
C (gcc -Os),leibniz_gcc_Os,754232,640399,120059,405282,414456
Go,leibniz_go,1873447,1171378,142406,959997,974055
Rust,leibniz_rust,11382368,361743,71746,712440,720194
